Name,Academic_year,Hometown,State_or_country,High_school,Weight,Link
Coen Bainey,Freshman,Julian,Pennsylvania,Bald Eagle,125 LBS,https://aueagles.com/sports/wrestling/roster/coen-bainey/6141
Caleb Beaty,Freshman,Clayton,North Carolina,Corinth Holders,197 LBS,https://aueagles.com/sports/wrestling/roster/caleb-beaty/6233
Connor Bourne,Graduate Student,Las Vegas,Nevada,Faith Lutheran,184 LBS,https://aueagles.com/sports/wrestling/roster/connor-bourne/6118
Caleb Campos,Sophomore,Charlotte,North Carolina,Cannon School,165 LBS,https://aueagles.com/sports/wrestling/roster/caleb-campos/6119
Devon Capato,Redshirt Sophomore,Basking Ridge,New Jersey,Ridge,157 LBS,https://aueagles.com/sports/wrestling/roster/devon-capato/6120
Mikey Glynos,Junior,Moorestown,New Jersey,Moorestown,149 LBS,https://aueagles.com/sports/wrestling/roster/mikey-glynos/6121
Will Jarrell,Graduate Student,Lincoln,Massachusetts,Buckingham Browne & Nichols,HWT,https://aueagles.com/sports/wrestling/roster/will-jarrell/6122
Shamil Kalmatov,Junior,Bishkek,Kyrgyzstan,Secondary School #58,125 LBS,https://aueagles.com/sports/wrestling/roster/shamil-kalmatov/6123
Brad Kata,Graduate Student,Orlando,Florida,Bishop Moore,184 LBS,https://aueagles.com/sports/wrestling/roster/brad-kata/6570
Maximilian Leete,Junior,Danvers,Massachusetts,Danvers,133 LBS,https://aueagles.com/sports/wrestling/roster/maximilian-leete/6125
Raymond Lopez,Sophomore,Clovis,California,Buchanan,141 LBS,https://aueagles.com/sports/wrestling/roster/raymond-lopez/6126
Jack Maida,Junior,Oceanport,New Jersey,Shore Regional,125 LBS,https://aueagles.com/sports/wrestling/roster/jack-maida/6127
Mervin Mancia,Senior,Silver Spring,Maryland,Montgomery Blair,174 LBS,https://aueagles.com/sports/wrestling/roster/mervin-mancia/6556
Cael McIntyre,Freshman,Easton,Pennsylvania,Bethlehem Catholic,141 LBS,https://aueagles.com/sports/wrestling/roster/cael-mcintyre/6143
Kaden Milheim,Freshman,Muncy,Pennsylvania,Warrior Run,157 LBS,https://aueagles.com/sports/wrestling/roster/kaden-milheim/6140
Jack Nies,Redshirt Junior,Ocean,New Jersey,Ocean Township,149 LBS,https://aueagles.com/sports/wrestling/roster/jack-nies/6129
Gage Owen,Freshman,Mt. Airy,Maryland,South Carroll,149 LBS,https://aueagles.com/sports/wrestling/roster/gage-owen/6144
Breon Phifer,Junior,Weston,Connecticut,Weston,165 LBS,https://aueagles.com/sports/wrestling/roster/breon-phifer/6130
Carsten Rawls,Junior,San Jose,California,Saint Francis,197 LBS,https://aueagles.com/sports/wrestling/roster/carsten-rawls/6131
Isaac Righter,Redshirt Junior,Derwood,Maryland,Mount St. Joseph,HWT,https://aueagles.com/sports/wrestling/roster/isaac-righter/6132
Antonio  Segura,Junior,Thornton,Colorado,Regis Jesuit,149 LBS,https://aueagles.com/sports/wrestling/roster/antonio-segura/6133
Ethan Szerencsits,Redshirt Junior,Northampton,Pennsylvania,Northampton,149 LBS,https://aueagles.com/sports/wrestling/roster/ethan-szerencsits/6134
Emmanuel Ulrich,Freshman,Mifflinburg,Pennsylvania,Mifflinburg,HWT,https://aueagles.com/sports/wrestling/roster/emmanuel-ulrich/6142
Liam Volk-Klos,Redshirt Freshman,Cranberry Township,Pennsylvania,Seneca Valley,197 LBS,https://aueagles.com/sports/wrestling/roster/liam-volk-klos/6135
Garrett  Washington,Sophomore,Okmulgee,Oklahoma,Bixby,141 LBS,https://aueagles.com/sports/wrestling/roster/garrett-washington/6251
Lucas White,Redshirt Sophomore,O'Fallon,Illinois,Christian Brothers College HS (Mo.),174 LBS,https://aueagles.com/sports/wrestling/roster/lucas-white/6138
Ryan Zimmerman,Redshirt Junior,Long Branch,New Jersey,Long Branch,157 LBS,https://aueagles.com/sports/wrestling/roster/ryan-zimmerman/6139
