Jersey Number,Name,Position,Height,Academic Year,Hometown,State/Country,High School,Link
0,Chris Gleaton,Guard,6 ft 3 in,Senior,Thiells,N.Y.,Trinity-Pawling,https://aueagles.com/sports/mens-basketball/roster/chris-gleaton/6035
1,Elijah Stephens,Guard,5 ft 9 in,Junior,Waco,Texas,China Spring,https://aueagles.com/sports/mens-basketball/roster/elijah-stephens/6043
2,Nick Marshall,Guard,6 ft 4 in,Sophomore,Clarksville,Md.,River Hill,https://aueagles.com/sports/mens-basketball/roster/nick-marshall/6246
3,Colin Smalls,Guard,6 ft 2 in,Senior,Upper Marlboro,Md.,St. Andrew's,https://aueagles.com/sports/mens-basketball/roster/colin-smalls/6037
4,Lincoln Ball,Guard,6 ft 6 in,Senior,Williamsport,Md.,Williamsport,https://aueagles.com/sports/mens-basketball/roster/lincoln-ball/6038
5,Alex Daniels,Guard,6 ft 3 in,Junior,Duluth,Ga.,Leesville Road,https://aueagles.com/sports/mens-basketball/roster/alex-daniels/6566
8,Lorenzo Donadio,Guard,6 ft 4 in,Senior,Rome,Italy,Boys' Latin,https://aueagles.com/sports/mens-basketball/roster/lorenzo-donadio/6042
10,Adrian Samuels,Guard,6 ft 5 in,Sophomore,Nashville,Tenn.,University School of Nashville,https://aueagles.com/sports/mens-basketball/roster/adrian-samuels/6564
12,Geoff Sprouse,Guard,6 ft 0 in,Sophomore,Pembroke Pines,Fla,Pembroke Pines,https://aueagles.com/sports/mens-basketball/roster/geoff-sprouse/6039
14,Gibraltar Coleman,Forward,6 ft 6 in,Freshman,Lorton,Va.,Flint Hill,https://aueagles.com/sports/mens-basketball/roster/gibraltar-coleman/6243
15,Matt Rogers,Forward,6 ft 9 in,Senior,Knoxville,Md.,St. Maria Goretti,https://aueagles.com/sports/mens-basketball/roster/matt-rogers/6041
20,Adam Holod,Guard,6 ft 2 in,Sophomore,St. Paul,Minn.,St. Paul Academy,https://aueagles.com/sports/mens-basketball/roster/adam-holod/6565
21,Noah Jones,Forward,6 ft 6 in,Sophomore,Baltimore,Md.,Mount Saint Joseph ,https://aueagles.com/sports/mens-basketball/roster/noah-jones/6237
22,Jermaine Ballisager Webb,Center,7 ft 0 in,Sophomore,Stjaer,Denmark,Monteverde,https://aueagles.com/sports/mens-basketball/roster/jermaine-ballisager-webb/6045
23,Greg Jones,Forward,6 ft 6 in,Freshman,Alexandria,Va.,Hayfield Secondary,https://aueagles.com/sports/mens-basketball/roster/greg-jones/6244
31,Matt Delaney,Forward,6 ft 7 in,Junior,Mantua,N.J.,St. Augustine Prep,https://aueagles.com/sports/mens-basketball/roster/matt-delaney/6044
33,Matt Mayock,Forward,6 ft 7 in,Freshman,Berwyn,Pa.,The Westtown School,https://aueagles.com/sports/mens-basketball/roster/matt-mayock/6245
45,Mason Whittaker,Forward,6 ft 9 in,Junior,Cust,New Zealand,Christ's College,https://aueagles.com/sports/mens-basketball/roster/mason-whittaker/6046
